,district,state,district_census_code,state_census_code,total,rural,urban
10,Ganderbal,Jammu & Kashmir,11,1,2.6,2.7,
188,Deoria,Uttar Pradesh,190,9,2.6,2.1,
64,Nainital,Uttarakhand,66,5,2.5,3.4,1.2
47,Patiala,Punjab,48,3,2.5,0.8,5
447,Hoshangabad,Madhya Pradesh,449,23,2.5,2.7,2.3
156,Rae Bareli,Uttar Pradesh,158,9,2.5,2.6,
239,North District,Sikkim,241,11,2.4,2.9,
572,Dakshina Kannada,Karnataka,575,29,2.4,1.2,3.9
369,Jharsuguda,Odisha,371,21,2.4,2.1,2.7
591,Ernakulam,Kerala,595,32,2.4,3.2,2
95,South West,NCT Delhi,97,7,2.4,,1.7
615,Thiruvarur,Tamil Nadu,619,33,2.4,1.2,
380,Jajapur,Odisha,382,21,2.3,1.9,
600,Kancheepuram,Tamil Nadu,604,33,2.3,4.6,0
525,Ratnagiri,Maharashtra,528,27,2.3,1.8,
261,Zunheboto,Nagaland,263,13,2.3,3.5,
250,Upper Siang,Arunachal Pradesh,252,12,2.3,2.7,
134,Rampur,Uttar Pradesh,136,9,2.2,2.5,
624,Tirunelveli,Tamil Nadu,628,33,2.2,-2.2,2.1
243,Tawang,Arunachal Pradesh,245,12,2.2,1.8,
455,Balaghat,Madhya Pradesh,457,23,2.2,2.5,
36,Jalandhar,Punjab,37,3,2.2,1.6,2.6
582,North Goa,Goa,585,30,2.1,2.2,2
160,Auraiya,Uttar Pradesh,162,9,2.1,2.0,
594,Alappuzha,Kerala,598,32,2.1,0.0,3.5
442,Bhopal,Madhya Pradesh,444,23,2.1,,2.2
407,Durg,Chhattisgarh,409,22,2.1,2.2,1.9
56,Rudraprayag,Uttarakhand,58,5,2.1,2.2,
130,Saharanpur,Uttar Pradesh,132,9,2.1,2.3,1.5
586,Wayanad,Kerala,590,32,2.1,2.1,
492,Diu,Daman & Diu,494,25,2.1,2.4,1.6
186,Gorakhpur,Uttar Pradesh,188,9,2.1,2.1,
240,West District,Sikkim,242,11,2.1,2.2,
40,Ludhiana,Punjab,41,3,2.0,1.5,-2.4
49,Tarn Taran,Punjab,50,3,2.0,2.4,
241,South District,Sikkim,243,11,2.0,2.3,
136,Meerut,Uttar Pradesh,138,9,2.0,2.4,1.8
133,Moradabad,Uttar Pradesh,135,9,2.0,2.4,1.2
503,Bhandara,Maharashtra,506,27,2.0,1.7,
32,Shimla,Himachal Pradesh,33,2,1.9,2.6,
189,Azamgarh,Uttar Pradesh,191,9,1.9,2.0,
42,Firozpur,Punjab,43,3,1.9,2.2,
623,Thoothukkudi,Tamil Nadu,627,33,1.8,-1.9,1.7
0,Kupwara,Jammu & Kashmir,1,1,1.8,2.4,
132,Bijnor,Uttar Pradesh,134,9,1.8,2.5,
566,Udupi,Karnataka,569,29,1.8,1.2,
368,Bargarh,Odisha,370,21,1.8,2.0,
2,Leh(Ladakh),Jammu & Kashmir,3,1,1.7,-2.7,0
58,Dehradun,Uttarakhand,60,5,1.7,2.8,1.1
607,The Nilgiris,Tamil Nadu,611,33,1.7,2.6,1.2
50,Rup Nagar,Punjab,51,3,1.7,1.2,
137,Baghpat,Uttar Pradesh,139,9,1.7,1.2,
11,Pulwama,Jammu & Kashmir,12,1,1.7,1.7,
502,Nagpur,Maharashtra,505,27,1.6,1.3,1.8
27,Hamirpur,Himachal Pradesh,28,2,1.6,1.6,
35,Kapurthala,Punjab,36,3,1.6,0.0,3.9
14,Kulgam,Jammu & Kashmir,15,1,1.6,2.0,
505,Gadchiroli,Maharashtra,508,27,1.5,1.7,
595,Pathanamthitta,Kerala,599,32,1.5,1.8,
29,Bilaspur,Himachal Pradesh,30,2,1.5,0.8,
