district,state,district_census_code,state_census_code,total,rural,urban
Madhubani,Bihar,207,10,2598,2639,
Supaul,Bihar,208,10,1966,2038,
Araria,Bihar,209,10,2318,1838,
Kishanganj,Bihar,210,10,2147,2270,
Purnia,Bihar,211,10,1278,1219,
Katihar,Bihar,212,10,1030,1067,
Madhepura,Bihar,213,10,1076,1086,
Saharsa,Bihar,214,10,1285,1307,
Darbhanga,Bihar,215,10,2529,2544,
Muzaffarpur,Bihar,216,10,1970,1643,
Gopalganj,Bihar,217,10,4474,4695,
Siwan,Bihar,218,10,1609,1625,
Saran,Bihar,219,10,2868,2739,
Vaishali,Bihar,220,10,1438,1230,
Samastipur,Bihar,221,10,1389,1408,
Begusarai,Bihar,222,10,1210,1310,
Khagaria,Bihar,223,10,933,919,
Bhagalpur,Bihar,224,10,1037,936,
Banka,Bihar,225,10,1123,1137,
Munger,Bihar,226,10,1287,1394,
Lakhisarai,Bihar,227,10,1084,1095,
Sheikhpura,Bihar,228,10,1198,1205,
Nalanda,Bihar,229,10,889,802,
Patna,Bihar,230,10,1647,1827,1323
Bhojpur,Bihar,231,10,1214,1262,
Buxar,Bihar,232,10,1333,1329,
Kaimur,Bihar,233,10,1232,1253,
Rohtas,Bihar,234,10,1058,1059,
Aurangabad,Bihar,235,10,1907,1941,
Gaya,Bihar,236,10,1028,948,
Nawada,Bihar,237,10,1278,1318,
Jamui,Bihar,238,10,1215,1202,
Jehanabad,Bihar,239,10,1225,1217,
Arwal,Bihar,240,10,1226,1263,
North District,Sikkim,241,11,2066,2151,
West District,Sikkim,242,11,1461,1503,
South District,Sikkim,243,11,1562,1481,
East District,Sikkim,244,11,3451,4080,2825
Tawang,Arunachal Pradesh,245,12,6660,-7174,
West Kameng,Arunachal Pradesh,246,12,5932,-5960,
East Kameng,Arunachal Pradesh,247,12,6387,*,
Papumpare,Arunachal Pradesh,248,12,12082,6668,16032
Upper Subansiri,Arunachal Pradesh,249,12,9754,10196,
West Siang,Arunachal Pradesh,250,12,4400,-3680,
East Siang,Arunachal Pradesh,251,12,6508,5031,
Upper Siang,Arunachal Pradesh,252,12,4773,2997,
Changlang,Arunachal Pradesh,253,12,3386,3360,
Tirap,Arunachal Pradesh,254,12,2911,2896,
Lower Subansiri,Arunachal Pradesh,255,12,6049,-6284,
Kurung Kumey,Arunachal Pradesh,256,12,5892,5747,
Dibang Valley,Arunachal Pradesh,257,12,10164,-10164,
Lower Dibang Valley,Arunachal Pradesh,258,12,5052,4436,
Lohit,Arunachal Pradesh,259,12,4864,3927,
Anjaw,Arunachal Pradesh,260,12,3876,3908,
Mon,Nagaland,261,13,3559,*,
Mokokchung,Nagaland,262,13,6897,*,
Zunheboto,Nagaland,263,13,10499,*,
Wokha,Nagaland,264,13,6542,-7118,
Dimapur,Nagaland,265,13,7334,7015,7673
Phek,Nagaland,266,13,6003,-5091,
Tuensang,Nagaland,267,13,4165,-3398,
Longleng,Nagaland,268,13,0,*,
Kiphire,Nagaland,269,13,3606,-4205,
Kohima,Nagaland,270,13,5123,3455,7003
Peren,Nagaland,271,13,3701,3692,
Senapati,Manipur,272,14,9633,9951,
Tamenglong,Manipur,273,14,8178,8936,
Churachandpur,Manipur,274,14,5955,6226,
Bishnupur,Manipur,275,14,8449,8456,8441
Thoubal,Manipur,276,14,10420,10567,10189
Imphal West,Manipur,277,14,11508,10637,12117
Imphal East,Manipur,278,14,10738,10362,11268
Ukhrul,Manipur,279,14,8143,-8884,
Chandel,Manipur,280,14,7582,7679,
Mamit,Mizoram,281,15,2964,2870,
Kolasib,Mizoram,282,15,3097,2406,3292
Aizawl,Mizoram,283,15,5087,,6032
Champhai,Mizoram,284,15,3570,3000,4232
Serchhip,Mizoram,285,15,3054,2285,3408
Lunglei,Mizoram,286,15,5159,5267,5025
Lawngtlai,Mizoram,287,15,3648,3986,
Saiha,Mizoram,288,15,3221,2651,3512
West Tripura,Tripura,289,16,4693,4607,4863
South Tripura,Tripura,290,16,4721,4758,
Dhalai,Tripura,291,16,3860,3588,
North Tripura,Tripura,292,16,3437,3097,
West Garo Hills,Meghalaya,293,17,4558,4792,
